variant,period,n,correct,accuracy,roc_auc,log_loss,brier_score,probability_min,probability_max
search_43,all_311,311,184,0.5916398713826366,0.5881330685203575,0.6888662504072754,0.2472748798315918,0.14461993177731833,0.8923893570899963
search_43,development_232,232,140,0.603448275862069,0.6051282051282052,0.6771054706483972,0.24213133024446354,0.30190421144167584,0.7512547771135966
search_43,recent_79,79,44,0.5569620253164557,0.5506493506493506,0.7234042365346137,0.2623799874798671,0.14461993177731833,0.8923893570899963
search_44,all_311,311,180,0.5787781350482315,0.5997600132406489,0.6863752591978621,0.2458713545145082,0.08749829729398091,0.9037399888038635
search_44,development_232,232,138,0.5948275862068966,0.6418431809736158,0.6654473011588621,0.23647714271681833,0.27477221687634784,0.7540916601816813
search_44,recent_79,79,42,0.5316455696202531,0.535064935064935,0.7478345790085965,0.2734594195406356,0.08749829729398091,0.9037399888038635
search_45,all_311,311,182,0.5852090032154341,0.5933465739821251,0.6862109507000229,0.24598470945375542,0.15029897292455038,0.9029277960459391
search_45,development_232,232,142,0.6120689655172413,0.6426607209215905,0.6704707641434833,0.2388373999813925,0.3135916491349538,0.7666091322898865
search_45,recent_79,79,40,0.5063291139240507,0.5493506493506494,0.7324352960306202,0.26697427651183386,0.15029897292455038,0.9029277960459391
search_46,all_311,311,183,0.5884244372990354,0.5989324726911619,0.6851149181464767,0.24545649011259954,0.12220657865206401,0.8960529963175455
search_46,development_232,232,143,0.6163793103448276,0.6338907469342251,0.67094809482984,0.23909681208940037,0.25236881772677106,0.8063723842302958
search_46,recent_79,79,40,0.5063291139240507,0.5435064935064935,0.7267187537092588,0.264133012914906,0.12220657865206401,0.8960529963175455
search_47,all_311,311,185,0.594855305466238,0.6084491890102616,0.6829703206209318,0.2444672288585659,0.15311256051063538,0.8852062424023946
search_47,development_232,232,145,0.625,0.6574507617985879,0.6670036020214746,0.23713077086398274,0.29166637857755023,0.7677258650461832
search_47,recent_79,79,40,0.5063291139240507,0.5402597402597402,0.7298599246092108,0.26601227005784794,0.15311256051063538,0.8852062424023946
search_48,all_311,311,182,0.5852090032154341,0.594877523998676,0.6845305970736648,0.24521740599425895,0.15851996342341104,0.8886750539143881
search_48,development_232,232,138,0.5948275862068966,0.6217762913415087,0.6699206200365897,0.2386734568298605,0.27573998769124347,0.711538831392924
search_48,recent_79,79,44,0.5569620253164557,0.5532467532467533,0.7274358460939356,0.26443507948970757,0.15851996342341104,0.8886750539143881
search_49,all_311,311,183,0.5884244372990354,0.5911949685534591,0.6870538714046427,0.24652382628231903,0.1329872707525889,0.8933842976888021
search_49,development_232,232,142,0.6120689655172413,0.632627276105537,0.6700353985961304,0.23875014911327633,0.29025304317474365,0.7823648850123087
search_49,recent_79,79,41,0.5189873417721519,0.5402597402597402,0.7370321712979953,0.2693528529053305,0.1329872707525889,0.8933842976888021
strong_lead15_8,all_311,311,166,0.5337620578778135,0.5633482290632241,0.689579041559993,0.24777164887151312,0.20023702581723532,0.8482673366864523
strong_lead15_8,development_232,232,129,0.5560344827586207,0.5965811965811966,0.6804826233174646,0.2437315910163054,0.3362908959388733,0.6844980120658875
strong_lead15_8,recent_79,79,37,0.46835443037974683,0.5668831168831169,0.7162925736140003,0.2596361225728827,0.20023702581723532,0.8482673366864523
